Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Vitamin_A_µg,Vitamin_B_complex_mg,Vitamin_C_mg,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg,Sodium_mg,Category,Cuisine,Meal_Type
"Great Chinese Chili Chicken, 0.5 cup",56.8,1.6,0.0,3.2,5.6,0.0,29.7,0.12,10.0,0.2,0.25,2.2,1.3,0.34,280.2,9.5,0.54,301,Dinner,Pakistani,Lunch
"Harvest Jasmine Blend Jasmine Rice Blend, 1/4 c dry",64.0,14.0,0.0,0.4,1.6,0.0,0.0,0.02,12.3,0.1,1.23,2.98,20.4,0.09,83.3,11.9,0.74,341,Dinner,Pakistani,Lunch
Chicken Nihari Recipe,178.4,4.8,0.0,12.4,11.6,0.0,55.8,0.58,16.3,0.04,1.61,2.04,0.2,0.86,73.4,15.2,0.13,184,Dinner,Pakistani,Dinner
"Healthxchange.com.sg Mutton Curry With Potato, 191 g",113.6,3.6,0.0,4.8,13.6,0.0,14.2,0.3,7.9,0.12,0.49,1.18,19.2,1.45,84.5,3.9,0.37,137,Lunch,Pakistani,Lunch
"Generic (Taken From Http://caloriecount.about.com/vegetable-karahi-recipe-r1194584 ) Karahi Vegetables, 100 g",22.4,0.0,0.0,0.4,0.8,0.0,0.0,0.1,5.4,0.06,0.39,10.24,42.8,0.54,126.8,9.8,0.71,337,Dinner,Pakistani,Dinner
"Food Aloo Gobi Masala Internet , 2 cup",162.8,28.0,0.0,4.4,5.2,0.0,3.6,0.31,0.3,0.05,0.06,3.07,2.2,0.97,224.8,21.4,0.1,413,Dinner,Pakistani,Lunch
"Innocent Madras, 1 Pot",130.8,16.8,0.0,4.0,4.4,0.0,0.0,0.23,3.6,0.1,0.5,14.96,10.6,1.69,104.8,18.8,0.49,582,Lunch,Pakistani,Lunch
"Tesco Tonic Water, 500 ml",44.0,10.4,0.0,0.0,0.0,0.0,0.0,0.26,5.2,0.09,0.41,7.91,43.0,1.24,198.1,12.1,0.17,366,Dinner,Pakistani,Lunch
"Popadum, 1.33 Popadum",34.8,2.8,0.0,2.8,1.2,0.0,50.6,0.62,1.8,0.27,0.25,2.3,0.8,1.91,57.6,17.9,0.18,150,Dinner,Pakistani,Lunch
"Chicken Vindaloo, 0.5 Carton",160.0,3.2,0.0,8.0,18.8,0.0,0.0,0.43,10.0,0.11,0.13,3.61,17.0,0.86,41.0,17.8,0.43,10,Dinner,Pakistani,Dinner
"Moong Ni Dal (Split Green Lentils) Cooked, 1.2 serving",72.4,6.0,0.0,4.8,2.0,0.0,7.8,0.58,3.2,0.03,0.31,2.48,23.1,1.06,216.7,11.8,1.06,356,Lunch,Pakistani,Lunch
"All Recipes - Rice W/ Cashews, Raisins & Tumeric (W/O Cashews), 0.033400000000000006 of a recipe",30.4,0.0,0.0,0.0,0.0,0.0,1.4,0.29,1.4,0.04,0.01,14.95,3.3,0.01,289.7,19.8,0.55,135,Lunch,Pakistani,Lunch
"South Prawn Curry, 3 cup",0.0,19.2,0.0,20.8,49.2,0.0,0.0,0.17,3.7,0.06,0.61,2.33,4.6,1.8,232.9,18.3,0.27,517,Dinner,Pakistani,Dinner
"salad, 1 serving(s)",14.0,2.0,0.0,1.2,1.2,0.0,7.5,0.65,5.0,0.03,0.52,10.96,38.8,1.23,69.7,6.3,0.12,232,Lunch,Pakistani,Lunch
"Kadi Homemade Soup, 2 bowl",135.6,17.6,0.0,4.4,7.2,0.0,0.0,0.1,0.7,0.1,0.24,1.38,19.6,0.19,128.4,13.2,0.2,369,Dinner,Pakistani,Lunch
Plum Ice Cream,104.0,9.2,0.0,7.2,1.6,0.0,44.9,0.39,2.2,0.01,0.67,8.25,0.5,0.04,45.8,13.2,0.37,390,Dinner,Pakistani,Lunch
"Truly Dal Makhani, 1 pkg",144.0,16.0,0.0,6.4,5.6,0.0,0.0,0.43,0.6,0.13,0.53,3.85,34.6,0.39,155.2,7.8,0.02,346,Dinner,Pakistani,Lunch
"Archer Farms Tikka Masala Meal Kit Sauce With Rice and Potatoes, 0.5 package",312.0,35.2,0.0,4.0,28.0,0.0,11.3,0.73,7.8,0.17,0.42,3.16,44.9,0.06,141.6,3.0,0.06,10,Lunch,Pakistani,Lunch
"Easy Beef Curry, 1 cup (240 ml)",113.6,14.0,0.0,3.2,6.4,0.0,22.6,0.2,0.3,0.14,0.64,7.96,10.4,0.82,98.2,16.7,0.51,494,Dinner,Pakistani,Dinner
"Popadum, 2 Popadum",52.0,4.0,0.0,4.0,1.6,0.0,24.0,0.09,0.5,0.1,0.66,2.36,19.6,0.23,154.9,5.9,0.34,351,Lunch,Pakistani,Lunch
"Navratan Korma, 1 cup",151.2,22.0,0.0,10.0,2.4,0.0,32.7,0.15,14.2,0.08,0.2,2.9,16.3,0.46,164.6,17.1,0.67,361,Dinner,Pakistani,Dinner
"Trader Joe's Fare Jaipur Vegtables, 10 oz.",136.0,8.0,0.0,8.8,5.6,0.0,7.9,0.22,2.5,0.15,0.52,22.27,70.2,0.66,186.9,21.9,0.18,99,Dinner,Pakistani,Lunch
"Dfac Chicken Curry, 8 oz",112.0,1.2,0.0,3.6,18.0,0.0,28.4,0.11,3.4,0.08,0.51,7.92,4.7,0.18,79.5,13.9,0.99,10,Dinner,Pakistani,Dinner
"Chicken Tikka Masala, 0.5 tray",105.2,5.6,0.0,3.2,4.0,0.0,0.0,0.39,4.7,0.09,0.66,3.3,4.2,2.35,100.3,17.9,0.4,10,Dinner,Global,Dinner
"ARAMARK on Campus Grilled -Spiced Chicken, 1 each",64.8,0.4,0.0,2.8,9.6,0.0,41.7,0.36,6.6,0.05,1.01,8.15,20.3,0.59,106.1,22.7,0.12,17,Dinner,Pakistani,Dinner
"Homemade Karela / Kakarakaya / Bitter Gourd Fry, 100 g",7.6,1.6,0.0,0.0,0.4,0.0,4.3,0.18,9.1,0.03,0.62,9.18,3.8,1.23,1.9,20.5,0.19,161,Dinner,Pakistani,Lunch
"Restaraunt Vegetable Dansak, 0.5 dish",60.0,7.2,0.0,1.2,1.6,0.0,113.8,0.36,2.3,0.16,0.04,15.24,35.2,1.75,39.7,19.6,0.46,66,Dinner,Pakistani,Lunch
"Broad Beans Cooked, 100 g",0.4,7.6,0.0,0.0,3.2,0.0,7.3,0.64,6.0,0.27,0.64,11.77,64.4,0.9,105.0,20.3,0.98,148,Dinner,Pakistani,Lunch
"Tesco Chicken Jalfrezi & Pilau Rice, 550 g",318.0,35.6,0.0,10.0,18.8,0.0,34.9,0.36,5.1,0.24,0.12,1.15,7.6,2.76,139.4,5.2,0.75,335,Dinner,Pakistani,Dinner
"West Curry Chicken, 1 cup",229.6,14.8,0.0,12.4,14.4,0.0,0.0,0.1,8.1,0.08,1.1,17.91,16.6,1.93,107.2,10.1,0.42,201,Dinner,Pakistani,Lunch
"John West Tuna Tempters Mild Curry (Aus), 95 g",36.0,0.8,0.0,1.2,5.2,0.0,14.5,0.34,7.2,0.09,0.29,12.03,18.7,0.46,127.0,11.9,1.43,20,Lunch,Pakistani,Lunch
"Kawan Whole Wheat Chapatti Wholemeal Flat Bread, 120 g",144.0,22.8,0.0,3.6,3.6,0.0,0.0,0.26,4.9,0.18,0.55,4.07,25.7,1.22,295.5,19.6,0.38,86,Lunch,Pakistani,Lunch
"Bru Coffee, 0.75 cup",62.0,0.0,0.0,0.0,0.0,0.0,4.5,0.16,4.8,0.04,0.6,3.81,17.5,0.85,127.4,21.9,0.45,10,Lunch,Pakistani,Lunch
"Gopi Cheese Paneer, 85.2 gm",108.0,1.2,0.0,8.4,7.2,0.0,0.0,0.05,4.0,0.04,0.99,1.96,9.1,1.32,194.0,13.3,0.67,214,Dinner,Pakistani,Lunch
"Sweet Gajar Ka Halwa Sweet, 1/2 Cup Cooked",32.0,0.0,0.0,0.0,0.0,0.0,8.1,0.22,0.7,0.0,0.34,10.94,0.0,0.1,169.1,11.7,0.73,84,Breakfast,Pakistani,Breakfast
"Amy's Gluten Free Aloo Mattar Wrap, 1 wrap",100.0,12.8,0.0,3.6,3.6,0.0,0.0,0.18,1.2,0.12,0.06,3.0,18.9,0.76,118.1,16.1,0.08,429,Lunch,Pakistani,Lunch
"Buffet (1 Plate W/ 2 Meats, Rice, 2 Veg, 2 Pieces Naan, Rice Pudding), 0.5 plate",300.0,14.0,0.0,10.0,8.0,0.0,15.6,0.03,5.3,0.27,0.19,4.82,28.9,0.96,49.1,7.0,0.04,329,Breakfast,Pakistani,Breakfast
"Home Made Rajma Kidney Bean Curry, 2.3 cup cooked",142.4,27.6,0.0,3.2,10.0,0.0,0.0,0.52,1.8,0.17,0.43,9.55,39.7,0.3,168.3,23.2,0.08,135,Dinner,Pakistani,Dinner
"Aayi's Jowar Roti Gluten Free Flatbread, 1 piece",32.0,7.2,0.0,0.4,1.2,0.0,0.0,0.08,4.4,0.01,0.28,14.02,70.4,0.48,94.3,11.7,1.17,21,Dinner,Pakistani,Lunch
"Lamb Meatballs, 7 meatballs",95.2,2.0,0.0,32.4,5.2,0.0,22.5,0.0,4.9,0.02,0.83,8.21,12.2,0.16,41.0,17.9,0.61,401,Dinner,Pakistani,Dinner
Bohra Kharak Recipe (Kharik),17.2,2.8,0.0,0.4,0.4,0.0,85.2,0.11,11.5,0.02,0.49,1.56,41.2,0.07,72.0,16.7,0.4,307,Dinner,Pakistani,Lunch
"South /Tamil Appam, 0.3 serving",20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.6,0.18,0.12,12.79,9.2,0.76,80.4,3.9,0.3,61,Dinner,Pakistani,Lunch
"Chicken Tikka Masala, 0.8 tray",168.0,8.8,0.0,4.8,6.0,0.0,40.3,0.11,2.4,0.09,0.44,15.33,46.7,1.17,171.1,25.6,0.53,316,Dinner,Pakistani,Dinner
"Chinese Chicken Hakka Noodles, 0.5 Serving Bowl",82.4,8.0,0.0,2.8,3.6,0.0,0.0,0.2,2.3,0.24,0.24,13.29,4.1,0.35,13.7,6.1,0.61,221,Dinner,Pakistani,Dinner
"Harvest Gold's () Stone Ground Wheat Bread (Brown), 28 g",27.6,5.6,0.0,0.0,0.8,0.0,0.0,0.63,1.5,0.17,0.0,8.6,38.2,0.77,68.4,12.1,0.89,299,Lunch,Pakistani,Lunch
"Ashirwaad Multigrain Atta Roti, 45 gm",66.0,13.2,0.0,0.4,2.4,0.0,0.0,0.28,4.1,0.17,0.13,5.56,15.4,0.19,60.5,15.4,0.47,127,Dinner,Pakistani,Lunch
"Butter Chicken, 1.5 serving(s)",90.0,7.6,0.0,2.8,10.4,0.0,2.0,0.31,11.3,0.16,0.15,0.59,51.4,0.71,274.9,13.1,0.36,190,Dinner,Pakistani,Dinner
"Chapati, 0.5 serving",33.2,6.4,0.0,0.4,1.2,0.0,0.0,0.27,0.1,0.03,1.49,5.69,30.3,1.51,6.3,26.0,0.6,104,Breakfast,Pakistani,Breakfast
"Asda Chosen by You ' ' Chicken Tandoori Masala, 225 g",96.8,6.0,0.0,4.8,8.4,0.0,0.0,0.39,5.2,0.02,0.46,1.39,52.9,1.52,31.0,2.7,0.91,49,Dinner,Pakistani,Lunch
"Veggie Curry (with chicken), 1 serving",73.6,5.6,0.0,2.4,7.6,0.0,58.5,0.05,7.7,0.07,0.33,18.2,40.1,0.42,139.8,3.0,0.04,304,Breakfast,Pakistani,Breakfast
"Trader Joe's Palak Paneer (Spinach & Cottage Cheese Curry), 0.38 serving (1/2 pkg, 5.25oz)",24.0,1.2,0.0,2.0,0.8,0.0,33.4,0.03,0.2,0.21,0.23,2.76,87.6,0.52,183.7,25.3,0.27,348,Dinner,Pakistani,Dinner
"Garlic and Cheese Naan, 1 bread",145.6,19.2,0.0,5.2,6.0,0.0,21.5,0.36,7.6,0.21,0.17,13.44,6.4,1.32,136.6,15.6,0.57,10,Breakfast,Pakistani,Breakfast
"Mushroom Rice, 0.4 portion",27.2,4.4,0.0,0.8,0.8,0.0,0.0,0.37,6.4,0.08,0.36,15.3,65.9,0.72,160.8,13.6,0.61,202,Dinner,Pakistani,Lunch
"Masala Chai Masala Chai, 0.5 cup",18.0,3.2,0.0,0.4,0.4,0.0,80.4,0.08,1.5,0.07,1.0,4.38,21.1,1.11,259.5,17.3,0.48,281,Breakfast,Pakistani,Breakfast
"Half Tandoori Chicken, 1/4 chicken",78.0,1.6,0.0,4.0,9.2,0.0,6.6,0.11,3.8,0.02,0.75,7.17,31.1,0.72,161.9,5.6,0.28,248,Dinner,Pakistani,Dinner
"Sun rice rice with chickpeas, 2 cup",164.0,25.6,0.0,4.0,4.4,0.0,5.8,0.12,17.8,0.14,0.41,0.83,3.7,0.5,143.4,3.0,0.23,124,Lunch,Pakistani,Lunch
"Trader Joes Jaipur Vegetables Fare, 1 package",136.0,0.0,0.0,0.0,0.0,0.0,84.3,0.1,1.8,0.2,0.27,10.35,66.3,0.04,112.1,9.8,0.38,173,Dinner,Pakistani,Lunch
"Chicken Tonight 97% Fat Free Butter Chicken, 123 Grams",36.0,5.6,0.0,1.6,0.4,0.0,28.6,0.12,1.3,0.18,0.05,4.44,19.1,1.77,197.7,1.6,0.08,306,Dinner,Pakistani,Dinner
"Sag Aloo , 1 portion",141.6,0.0,0.0,9.6,0.0,0.0,40.5,0.24,2.3,0.13,0.01,17.19,4.7,1.13,234.7,1.0,0.26,391,Lunch,Pakistani,Lunch
"Star Basmati Rice Steamed Basmati White Rice, 1/4 c",64.0,14.4,0.0,0.0,1.2,0.0,0.0,0.39,7.9,0.07,0.4,3.75,30.7,0.36,174.3,6.3,0.45,156,Dinner,Pakistani,Lunch
"Moong Dal Cooked, 0.2 cup",16.8,3.2,0.0,0.0,1.2,0.0,0.0,0.16,0.6,0.14,0.83,13.38,5.4,0.32,159.7,17.1,0.56,10,Dinner,Pakistani,Lunch
"Tarka Dhal, 156 g",74.8,11.2,0.0,2.4,2.4,0.0,24.6,0.35,2.7,0.08,0.24,8.36,22.8,0.65,98.5,12.7,0.59,260,Dinner,Pakistani,Lunch
"Atkins Cauliflower With Spices , 0.3 cup",8.4,0.0,0.0,0.4,0.4,0.0,18.0,0.07,6.4,0.09,0.34,4.86,27.9,0.4,89.4,7.2,0.21,361,Lunch,Pakistani,Lunch
"Sainsburys Plain Naan, 0.75 naan",123.2,18.0,0.0,4.4,2.8,0.0,66.1,0.05,6.3,0.15,0.12,5.13,20.2,0.71,8.3,2.5,0.52,240,Breakfast,Pakistani,Breakfast
"Aloo Gajar Matar Sabzi (Potato, Carrot, Peas Curry), 2 serving",206.4,25.6,0.0,12.8,4.8,0.0,54.1,0.45,3.4,0.03,0.22,7.66,41.4,0.67,38.5,9.6,0.59,170,Dinner,Pakistani,Dinner
"Burfi Burfi Home Made, 2 piece",72.0,13.6,0.0,4.0,6.4,0.0,27.0,0.07,8.8,0.01,0.69,2.37,58.4,0.94,147.1,11.0,0.37,180,Dinner,Pakistani,Lunch
"Chai Chai W/ 1% Milk and No Sugar, 1 cup",12.0,0.4,0.0,0.4,0.4,0.0,0.0,0.02,3.6,0.25,0.47,4.54,11.4,1.1,110.7,13.7,0.01,244,Breakfast,Pakistani,Breakfast
"Yellow Dahl Yellow Dahl, 0.7 cup cooked",32.4,4.0,0.0,1.6,1.6,0.0,32.0,0.11,4.8,0.12,0.24,6.7,9.4,0.83,107.8,15.5,1.11,143,Lunch,Pakistani,Lunch
"Chicken Lollypop, 0.75 plate",132.8,10.0,0.0,6.4,8.8,0.0,60.5,0.28,3.4,0.04,0.36,7.93,18.8,0.36,39.7,13.0,0.25,246,Dinner,Pakistani,Dinner
"Deep Gourmet Bhatura , 1 Piece",92.0,12.8,0.0,3.6,2.0,0.0,28.8,0.19,2.9,0.27,0.44,0.03,50.4,2.07,108.4,14.8,0.0,197,Dinner,Pakistani,Lunch
"Plain Naan, 1 nan",92.0,0.0,0.0,1.2,2.0,0.0,20.0,0.31,3.2,0.07,0.27,3.96,7.9,1.44,27.0,9.1,0.78,175,Breakfast,Pakistani,Breakfast
"Easy Beef Curry, 0.67 cup (240 ml)",75.6,9.2,0.0,2.0,4.4,0.0,17.7,0.15,5.3,0.1,0.02,4.47,28.3,1.79,88.7,23.8,0.14,419,Dinner,Pakistani,Dinner
"Deep Gourmet Paneer Paratha, 1 piece 92 g",106.0,11.2,0.0,5.2,3.6,0.0,19.2,0.19,5.1,0.03,0.05,15.19,27.5,1.26,102.0,25.3,0.13,127,Breakfast,Pakistani,Breakfast
"Moong Ni Dal (Split Green Lentils) Cooked, 2.5 serving",150.8,12.8,0.0,9.6,4.4,0.0,58.0,0.38,1.2,0.13,0.19,7.02,44.2,1.87,65.2,18.4,0.71,381,Dinner,Pakistani,Lunch
"chicken and Verge, 1 serving",246.4,22.0,0.0,5.6,27.6,0.0,5.3,0.03,1.0,0.15,0.35,12.98,23.5,0.44,81.7,13.2,0.31,73,Lunch,Pakistani,Lunch
"Rice Basmati Rice, 1/4 cup/50g",35.2,8.0,0.0,0.4,0.8,0.0,4.2,0.33,2.9,0.21,0.32,10.31,16.2,1.16,85.1,20.6,0.52,118,Dinner,Pakistani,Lunch
"Kheer Rice Pudding, 5.2 oz.",69.2,23.2,0.0,3.6,3.6,0.0,48.3,0.19,1.0,0.14,0.41,9.79,13.2,0.33,19.6,6.5,0.33,202,Dinner,Pakistani,Lunch
"Kawan Whole Wheat Chapatti Wholemeal Flat Bread, 40 g",48.0,7.6,0.0,1.2,1.2,0.0,6.9,0.21,4.0,0.03,0.43,2.17,7.4,1.06,239.3,17.8,0.77,141,Dinner,Pakistani,Lunch
"Dawaat Buffet, 1.5 plate",300.0,24.0,0.0,12.0,24.0,0.0,71.6,0.51,0.3,0.07,0.33,15.34,12.3,1.88,108.7,14.4,0.95,159,Lunch,Pakistani,Lunch
"Tandoori Mushroom, 4 pcs",20.0,2.4,0.0,0.8,1.6,0.0,6.1,0.08,5.5,0.02,0.38,14.31,45.4,0.72,19.0,2.2,0.44,145,Dinner,Pakistani,Dinner
"Beef Seekh Kabab, 100 grams",64.0,0.8,0.0,4.4,5.2,0.0,32.0,0.48,3.0,0.02,0.58,5.98,53.3,0.94,267.8,16.3,0.82,171,Dinner,Pakistani,Dinner
"Chicken Pathia, 2 cup",233.6,10.8,0.0,6.8,30.8,0.0,58.4,0.35,1.6,0.19,0.9,12.72,32.0,0.61,168.4,12.5,0.63,97,Dinner,Pakistani,Dinner
"Kawan Food Flatbread, 0.5 piece",40.0,5.2,0.0,1.6,1.2,0.0,46.6,0.6,3.2,0.08,0.56,3.81,10.2,1.44,71.1,18.4,0.4,193,Lunch,Pakistani,Lunch
"Lidl Kanpur Garden Naan Breads Garlic & Coriander Flavoured, 100 g",102.8,18.4,0.0,1.6,2.8,0.0,51.9,0.44,0.7,0.04,0.54,12.18,38.5,0.55,19.7,4.0,0.51,271,Breakfast,Pakistani,Breakfast
"Food Buffet Plate Extra Chicken, 1 plate",160.0,8.0,0.0,4.0,8.0,0.0,0.0,0.28,1.6,0.21,0.27,16.58,30.5,0.88,39.3,0.2,1.01,432,Dinner,Pakistani,Dinner
"Poppadom, 1 wafer",26.0,1.6,0.0,2.0,3.6,0.0,59.9,0.1,0.5,0.02,0.36,15.55,41.3,0.87,139.8,19.1,0.18,81,Dinner,Pakistani,Lunch
"Tesco Twelve Snack Selection, 6 snack",192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.7,0.12,0.23,0.17,44.4,0.45,162.9,1.4,0.06,38,Lunch,Pakistani,Lunch
"Sainsburys for 2 Chicken Jalfrezi and Chicken Tikka Masala, 1 portion",0.0,28.4,0.0,1.6,2.8,0.0,9.6,0.02,0.5,0.03,0.39,8.41,48.2,0.74,55.5,25.4,0.23,22,Dinner,Pakistani,Dinner
"Rice Basmati Rice, 20 gram",32.8,7.2,0.0,0.0,0.8,0.0,0.0,0.02,15.8,0.02,0.76,16.44,30.3,0.01,45.4,17.4,0.3,10,Dinner,Pakistani,Lunch
"Moong Ni Dal (Split Green Lentils) Cooked, 2 serving",120.8,10.4,0.0,7.6,3.2,0.0,54.9,0.46,3.0,0.15,0.13,12.67,4.4,0.92,83.0,9.5,0.86,235,Lunch,Pakistani,Lunch
"Aldi Silks Fine Foods Korma Simmer Sauce, 187.5 g",96.8,8.0,0.0,6.8,1.2,0.0,15.9,0.3,4.1,0.09,0.21,10.42,1.8,0.87,5.4,15.3,1.18,70,Dinner,Pakistani,Dinner
"Tesco Meal for Two Chicken Korma, 875 g",0.0,13.6,0.0,33.2,45.2,0.0,42.3,0.18,1.4,0.1,0.06,8.47,3.4,0.28,84.1,8.8,0.44,10,Dinner,Global,Dinner
"Resturant Paneer Shashlik, 0.5 cups",50.0,2.4,0.0,0.8,7.6,0.0,0.0,0.41,3.1,0.11,0.91,1.6,15.6,1.3,160.8,10.5,0.96,188,Lunch,Pakistani,Lunch
"Tandoor's Naan Bread, 0.75 naan bread",78.0,12.0,0.0,2.4,2.0,0.0,0.0,0.22,9.0,0.09,0.22,0.12,23.3,1.2,168.7,9.3,0.53,291,Breakfast,Pakistani,Breakfast
"Food Dhaba Murg (Chicken, Onion, Tomato, Coriander, Chilies), 0.5 portion",42.0,1.2,0.0,0.8,7.2,0.0,0.0,0.3,5.3,0.12,0.0,4.59,50.6,1.73,117.7,13.1,0.84,10,Dinner,Global,Dinner
"Deep Gourmet Paneer Makhani, 5 Oz (142 g)",80.0,2.4,0.0,6.8,2.0,0.0,39.3,0.27,5.5,0.05,0.09,4.81,9.8,0.22,45.2,21.8,0.24,243,Lunch,Pakistani,Lunch
"Deep Gourmet Paneer Makhani, 2.5 Oz (142 g)",40.0,1.2,0.0,3.6,1.2,0.0,0.0,0.0,1.6,0.09,0.2,18.96,55.7,1.25,110.4,24.1,0.31,215,Dinner,Pakistani,Lunch
"Tandoori Chicken Tikka, 6.25 pieces (90g)",93.6,4.0,0.0,1.6,16.0,0.0,29.1,0.1,0.7,0.11,0.56,2.43,24.7,0.43,169.9,26.4,0.08,156,Dinner,Pakistani,Dinner
"Chicken Biryani Chicken Biryani , 1 plates",109.6,9.6,0.0,3.6,4.0,0.0,9.0,0.02,4.8,0.01,0.41,7.43,58.4,0.91,128.6,10.0,0.52,262,Dinner,Pakistani,Dinner
"Morrisons Chicken Dopiaza, 1/2 pack",70.8,4.4,0.0,2.8,6.8,0.0,36.1,0.2,2.9,0.01,0.79,21.77,36.6,0.06,97.5,6.9,1.02,10,Dinner,Pakistani,Dinner
Aloo Gosht,207.2,10.8,0.0,15.6,6.8,0.0,34.8,0.18,6.8,0.02,0.29,2.3,50.9,0.79,56.0,7.6,0.25,331,Dinner,Pakistani,Dinner
"Aloo Ghobi, 150 g",52.0,8.0,0.0,2.0,1.2,0.0,0.0,0.25,5.9,0.02,0.59,2.02,41.1,0.44,150.5,11.7,0.36,258,Dinner,Pakistani,Lunch
"Semolina, 1/4 cup dry = 1/2 cup cooked",60.0,12.4,0.0,0.0,2.0,0.0,53.0,0.17,1.4,0.04,0.41,17.26,31.5,0.19,50.1,20.3,0.51,458,Lunch,Pakistani,Lunch
"Home Made Soya Chunks/ Nutrela Sabji With Onion Tomato & Spices, 0.4 cup",37.6,6.0,0.0,0.8,6.8,0.0,27.5,0.11,5.0,0.08,0.55,14.45,10.9,1.56,81.6,14.2,0.48,213,Lunch,Pakistani,Lunch
"Vh Market Tandoori, 1/6 cup",30.8,6.0,0.0,0.4,0.4,0.0,0.0,0.04,8.2,0.12,0.23,18.15,8.3,1.66,134.0,3.8,1.14,368,Dinner,Pakistani,Dinner
"Kadi Homemade Soup, 0.3 bowl",20.4,2.8,0.0,0.8,1.2,0.0,38.6,0.63,2.6,0.03,0.39,5.92,19.4,0.48,184.7,21.9,0.21,130,Lunch,Pakistani,Lunch
"Vegetable Biryani, 1 plate",134.4,14.8,0.0,3.6,0.0,0.0,50.8,0.21,4.8,0.03,0.02,21.58,21.8,1.19,74.0,9.3,0.27,99,Dinner,Pakistani,Dinner
"Cheese Naan, 1 Serving",132.8,20.0,0.0,3.6,6.8,0.0,24.1,0.22,2.9,0.1,1.28,2.31,5.6,0.15,80.8,10.0,0.56,93,Breakfast,Pakistani,Breakfast
"Tesco Chicken Tikka Masala, 75 g",42.8,1.2,0.0,2.4,4.0,0.0,0.0,0.13,9.3,0.09,0.57,4.19,43.7,0.66,152.6,16.6,0.42,339,Dinner,Pakistani,Dinner
"Lamb Vindaloo, 12 ounces",285.2,3.2,0.0,23.2,18.0,0.0,47.6,0.43,2.5,0.0,0.29,1.12,29.2,0.34,55.8,22.1,0.48,163,Dinner,Pakistani,Dinner
"Jaggery, 5 g",7.6,2.0,0.0,0.0,0.0,0.0,0.0,0.29,5.1,0.1,0.26,7.86,2.5,0.9,84.0,15.3,0.81,44,Lunch,Pakistani,Lunch
"Veg Thali, 0.5 plate",100.0,22.0,0.0,5.2,4.4,0.0,20.9,0.1,2.9,0.14,0.41,5.3,19.6,2.52,50.9,28.3,1.2,205,Dinner,Pakistani,Lunch
"Best Basmati Premium, 90 gm",120.0,28.0,0.0,0.0,2.4,0.0,8.0,0.08,1.6,0.2,0.11,0.91,27.5,0.9,141.2,12.5,0.31,176,Lunch,Pakistani,Lunch
"Take Out Tandoori Salmon, 3 oz",42.0,4.8,0.0,1.6,2.4,0.0,0.0,0.25,1.0,0.18,0.14,2.33,8.1,0.82,135.0,15.1,0.01,10,Dinner,Pakistani,Lunch
"Chickpea Curry, 1/2 Cup",42.8,7.6,0.0,0.0,2.4,0.0,0.0,0.52,3.4,0.05,0.0,12.35,39.7,0.02,57.6,19.9,0.35,10,Lunch,Global,Lunch
"Spicy Tofu Wrap from Cook Smarts, 1 serving(s)",138.0,19.2,0.0,4.8,6.0,0.0,24.5,0.14,14.7,0.03,0.08,6.47,18.1,1.09,216.3,0.1,0.3,287,Lunch,Pakistani,Lunch
"Vh -corrected Butter Chicken Cooking Sauce, 1/2 cup 125 ml",68.0,8.4,0.0,3.2,1.2,0.0,26.3,0.04,9.8,0.15,0.47,9.25,11.2,1.14,17.2,9.4,0.58,210,Dinner,Pakistani,Dinner
"All Recipes Chicken Curry, 0.5 serving",85.6,2.8,0.0,4.8,7.6,0.0,48.1,0.05,8.8,0.04,0.41,3.47,38.1,0.92,54.9,2.7,0.18,248,Dinner,Pakistani,Dinner
"Ckm Vegetable Fritters, 1 fritter",18.8,3.2,0.0,0.4,0.8,0.0,36.5,0.03,1.4,0.17,0.04,2.93,11.9,0.87,83.4,20.4,0.71,145,Lunch,Pakistani,Lunch
"Amy's Aloo Mattar Wrap, 5.5 oz",100.0,12.8,0.0,3.6,3.6,0.0,0.0,0.03,3.0,0.08,0.27,1.52,38.3,0.65,176.3,2.2,1.17,262,Lunch,Pakistani,Lunch
"Plain Naan, 0.5 naan",46.0,8.8,0.0,0.8,1.2,0.0,0.9,0.52,4.0,0.07,0.62,5.18,3.6,1.46,31.2,14.6,0.22,250,Breakfast,Pakistani,Breakfast
"Deep Gourmet Tandoori Naan, 1 piece (85gm/piece)",100.0,19.2,0.0,1.2,2.8,0.0,0.0,0.08,6.1,0.08,0.29,8.06,0.2,1.6,115.9,15.0,0.35,42,Breakfast,Pakistani,Breakfast
"Lean Cuisine Chicken Tikka Masala (Steam), 350 g",146.4,21.2,0.0,3.2,7.6,0.0,13.4,0.2,3.4,0.16,0.35,5.45,5.2,0.23,105.9,0.3,0.28,129,Dinner,Pakistani,Dinner
"Chicken Biryani, 1.1 serving",171.6,24.0,0.0,5.2,7.2,0.0,0.0,0.15,3.3,0.08,0.21,8.36,1.0,0.47,174.9,6.9,0.17,308,Dinner,Pakistani,Dinner
