Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Vitamin_A_µg,Vitamin_B_complex_mg,Vitamin_C_mg,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg,Sodium_mg,Category,Cuisine,Meal_Type
"(Uk Sheek Kebab, 2 piece",95.6,0.0,0.0,5.2,16.0,0.0,14.5,0.06,6.1,0.07,0.18,0.93,30.7,1.04,159.0,12.7,0.81,405,Snack,Pakistani,Snack
"Sitar Cuisine Chana Masala (Chick Peas), 7.5 oz",87.2,10.4,0.0,4.4,3.2,0.0,0.0,0.28,4.1,0.22,0.9,0.14,7.4,0.26,96.3,15.1,0.82,64,Snack,Pakistani,Snack
"Vegetable Samsosas Dish, 2 samosa",64.0,8.8,0.0,2.4,1.6,0.0,77.4,0.39,0.7,0.35,0.82,7.99,33.7,0.65,57.9,3.4,0.8,130,Snack,Pakistani,Snack
"M&s Modern Crispy Chaat Selection, 3.99 pieces",90.4,10.0,0.0,4.0,3.6,0.0,0.0,0.21,11.1,0.04,0.16,12.85,61.4,0.63,43.5,4.9,0.77,465,Snack,Pakistani,Snack
"Aldi Bilash 8 Mini Vegetable Samosas, 3 Samosa (23g)",76.8,8.0,0.0,4.4,1.6,0.0,0.0,0.45,8.7,0.01,0.53,2.41,22.2,1.21,164.4,22.7,0.61,224,Snack,Pakistani,Snack
"Vegtable Samosa, 1 portion",56.0,6.0,0.0,3.2,0.8,0.0,19.9,0.24,11.1,0.06,0.32,8.39,44.7,1.35,163.0,0.5,0.2,342,Snack,Pakistani,Snack
"Paneer Pakora, 1 piece",33.2,0.0,0.0,1.6,0.0,0.0,44.7,0.05,5.5,0.07,0.39,2.44,30.5,0.25,108.9,9.2,0.83,276,Snack,Pakistani,Snack
"Quorn 8 Samosas, 4 samosa",86.4,8.8,0.0,4.4,2.4,0.0,27.4,0.5,5.9,0.16,0.63,10.59,24.0,1.28,43.5,7.4,0.08,335,Snack,Pakistani,Snack
"Chana Cury, 0.5 cup cooked",49.2,6.0,0.0,2.4,1.6,0.0,10.5,0.42,1.1,0.09,0.35,0.94,40.1,0.24,99.2,10.8,0.44,161,Snack,Pakistani,Snack
"Mango Lassi, 0.5 cup",27.6,6.0,0.0,0.4,0.8,0.0,0.0,0.43,0.1,0.21,0.56,9.62,1.7,0.93,102.2,8.1,0.97,447,Snack,Global,Snack
"Deep Gourmet Potato & Pea Cocktail Samosa, 10 pieces (3g)",60.0,7.2,0.0,0.0,1.6,0.0,2.6,0.29,5.2,0.01,0.55,11.82,13.0,0.82,169.4,13.3,1.06,675,Snack,Pakistani,Snack
"Chana Masala Chickpea, 409.5 grams",146.0,26.4,0.0,2.8,5.6,0.0,5.3,0.41,6.8,0.19,0.34,7.4,38.2,0.69,101.3,8.2,0.8,460,Snack,Pakistani,Snack
"Vegetable Samosa, 0.13 samosa",12.4,0.8,0.0,0.4,0.0,0.0,56.6,0.06,4.8,0.11,0.48,1.35,26.0,0.24,53.8,12.0,0.61,266,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 150 g",63.2,4.4,0.0,2.4,1.2,0.0,0.0,0.34,5.3,0.06,0.47,9.0,45.7,0.47,140.6,11.1,1.55,276,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 0.5 samosa",31.2,2.4,0.0,2.4,0.4,0.0,20.8,0.11,1.2,0.2,0.53,2.69,34.9,2.44,80.6,6.9,0.07,391,Snack,Pakistani,Snack
"Paneer Pakora, 0.25 piece",8.4,0.0,0.0,0.4,0.0,0.0,14.4,0.36,2.7,0.06,0.47,5.06,27.7,0.84,35.3,0.9,0.76,120,Snack,Pakistani,Snack
"Chicken Chaat, 105.5 g",75.2,1.2,0.0,8.0,4.0,0.0,42.7,0.44,5.0,0.06,1.3,5.74,5.2,0.4,31.8,15.9,0.18,237,Snack,Pakistani,Snack
"Fitness raw nuts almonds, hazelnut, cashew, 125 g",291.6,11.6,0.0,32.0,9.2,0.0,47.6,0.3,4.2,0.13,0.11,17.01,11.1,2.56,7.8,18.5,0.92,332,Snack,Pakistani,Snack
"Schweppes Diet Tonic Water Classic Mixers, 250 ml",1.6,0.0,0.0,0.0,0.0,0.0,41.8,0.21,5.7,0.05,0.11,10.68,14.4,0.42,0.0,11.8,0.57,142,Snack,Pakistani,Snack
"Co-op Mini Selection Mini Samosa, 2 Samosa",36.0,0.0,0.0,1.2,0.0,0.0,0.0,0.36,4.6,0.04,0.45,2.92,39.1,1.36,34.7,14.2,0.27,239,Snack,Pakistani,Snack
"Pakoras Vegetable Fritters, 1.5 fritters",21.2,1.6,0.0,1.6,0.4,0.0,27.5,0.2,3.2,0.02,0.39,0.96,26.3,0.41,84.7,10.9,0.18,10,Snack,Global,Snack
"Take Away Chicken Pakora, 3 piece",114.0,6.0,0.0,4.8,13.2,0.0,25.9,0.02,0.1,0.02,0.33,8.14,36.6,0.92,53.8,14.6,0.37,418,Snack,Pakistani,Snack
"Amy's Samosa Wrap, 1 wrap (142g)",100.0,14.0,0.0,3.6,3.2,0.0,66.6,0.22,3.1,0.04,0.08,5.59,18.8,0.35,59.8,10.0,0.62,363,Snack,Pakistani,Snack
"Haldiram's Classic Patisa, 1 Piece",32.0,3.6,0.0,2.0,0.0,0.0,5.8,0.04,1.4,0.06,0.46,2.27,7.0,2.21,186.3,16.4,0.8,256,Snack,Pakistani,Snack
"Samosa (Potato-Filled), 1.13 piece",85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.11,9.9,0.0,0.1,11.44,11.0,0.42,208.5,4.9,0.52,240,Snack,Pakistani,Snack
"Homemade Samosa Large, 0.5 piece",70.0,0.0,0.0,0.0,0.0,0.0,40.1,0.33,2.6,0.11,0.23,9.02,21.6,0.49,95.8,30.6,1.01,294,Snack,Global,Snack
"Homemade Dahi Bhalla / Bhalle, 1 cup (160g)",70.0,8.0,0.0,3.2,2.0,0.0,46.6,0.07,3.6,0.02,1.78,1.11,27.0,1.09,198.2,13.4,0.87,40,Snack,Pakistani,Snack
"That Drink Raspberry Cinnamon Lassi, 1 container (237 ml)",52.0,8.4,0.0,1.2,2.8,0.0,1.1,0.06,0.2,0.18,0.07,1.91,33.5,0.54,52.8,6.1,0.42,168,Snack,Pakistani,Snack
"Bloomin’ -Spiced Whole Roasted Cauliflower, 1 serving(s)",80.8,11.2,0.0,2.8,5.6,0.0,14.8,0.17,3.6,0.09,0.69,6.46,37.3,1.46,153.8,10.0,0.84,59,Snack,Global,Snack
"Schweppes Diet Tonic Water Classic Mixers, 1 container (750 mls ea.)",8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.48,2.9,0.05,0.75,10.22,4.0,0.24,31.0,0.3,0.63,278,Snack,Pakistani,Snack
Beef Seekh Kebab (),190.0,3.6,0.0,14.0,12.4,0.0,0.0,0.57,0.4,0.15,1.05,10.25,7.7,1.02,168.1,14.5,0.0,217,Snack,Pakistani,Snack
"Recipes Chana Dal, 1/2 cup",142.4,24.0,0.0,3.2,8.0,0.0,63.4,0.14,1.4,0.04,0.47,7.22,1.3,0.58,155.5,27.5,0.13,349,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 1 piece",38.0,2.0,0.0,1.6,4.4,0.0,19.0,0.37,4.7,0.01,0.42,7.37,45.0,0.14,160.6,24.7,0.54,160,Snack,Pakistani,Snack
"Paneer Pakora, 3 piece",99.6,0.0,0.0,4.8,0.0,0.0,0.0,0.17,8.4,0.23,0.65,1.8,36.8,0.61,184.2,12.9,0.48,82,Snack,Pakistani,Snack
"Quorn 8 Samosas, 1 samosa",21.6,2.4,0.0,1.2,0.8,0.0,29.5,0.19,0.0,0.08,0.61,1.55,45.3,0.43,41.6,11.9,0.44,207,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 300 g",126.4,8.4,0.0,4.4,2.0,0.0,0.0,0.51,11.7,0.27,0.06,0.4,13.5,0.91,120.0,10.9,0.92,304,Snack,Pakistani,Snack
"Sweets Gulab Jambun, 2 pc cooked",142.4,24.0,0.0,4.8,2.4,0.0,37.5,0.19,4.5,0.18,0.01,9.98,22.2,0.71,124.9,5.5,0.04,10,Snack,Pakistani,Snack
"Iceland Platter Vegetable Samosas, 3 vegetable samosa",43.2,5.6,0.0,2.0,0.8,0.0,105.4,0.35,2.7,0.05,0.37,9.06,34.0,0.05,0.9,12.6,0.37,219,Snack,Pakistani,Snack
"Homemade Samosa Large, 1 piece",140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.7,0.08,0.61,14.26,30.4,0.53,130.7,19.5,0.26,473,Snack,Global,Snack
"Mango Lassi, 1 cup",55.2,12.4,0.0,0.4,1.6,0.0,19.9,0.11,2.6,0.06,0.09,1.59,44.5,0.28,193.7,25.8,0.02,247,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 4 piece",152.0,8.0,0.0,6.4,17.6,0.0,18.2,0.04,1.5,0.04,0.9,8.61,11.8,1.97,236.2,10.2,0.24,165,Snack,Pakistani,Snack
"Co-op Mini Selection Mini Samosa, 3 Samosa",54.0,0.0,0.0,2.0,0.0,0.0,21.8,0.52,3.0,0.1,1.53,5.35,9.6,0.52,55.3,5.0,0.09,118,Snack,Pakistani,Snack
Aloo Chana Chaat,113.2,20.8,0.0,2.0,4.0,0.0,23.8,0.08,0.8,0.09,0.41,7.48,24.4,0.47,55.5,18.8,0.38,263,Snack,Pakistani,Snack
"Deep Gourmet Original Potato Pea Samosa, 1 Pieces (53g)",26.0,3.2,0.0,1.6,0.4,0.0,16.6,0.05,3.9,0.12,0.79,2.66,10.2,1.36,210.9,15.9,0.21,220,Snack,Pakistani,Snack
"night (chx tikka, rice, pakora), 1.25 serving(s)",326.4,54.0,0.0,5.2,14.0,0.0,0.0,0.01,6.0,0.17,0.1,2.14,7.0,0.64,66.1,18.2,0.05,233,Snack,Pakistani,Snack
"Life Pakoras Mixed Vegetables, 1 pak",24.0,3.6,0.0,0.8,0.8,0.0,12.2,0.19,0.1,0.09,0.56,10.04,52.1,0.6,124.7,3.8,0.46,207,Snack,Pakistani,Snack
"Iceland Platter Vegetable Samosas, 1 vegetable samosa",14.4,2.0,0.0,0.8,0.4,0.0,28.1,0.16,2.1,0.0,0.32,0.63,26.8,0.18,34.8,6.3,0.98,363,Snack,Pakistani,Snack
Keema Samosa Recipe,47.2,8.4,0.0,1.2,0.8,0.0,31.0,0.2,4.9,0.05,0.09,9.63,31.8,1.13,173.0,15.4,0.78,430,Snack,Pakistani,Snack
"Recipes Chana Dal, 1/4 cup",71.2,12.0,0.0,1.6,4.0,0.0,0.0,0.25,11.6,0.2,0.32,9.29,3.2,1.77,5.0,19.3,0.6,106,Snack,Pakistani,Snack
"Neha's Inspired Frozen Yoghurt Mango & Honey Lassi, 80 g",67.2,7.6,0.0,3.6,1.2,0.0,58.4,0.37,4.8,0.33,0.17,6.05,18.6,1.81,44.7,26.0,0.18,201,Snack,Pakistani,Snack
"night (chx tikka, rice, pakora), 1.5 serving(s)",391.6,64.8,0.0,6.4,16.8,0.0,9.0,0.36,8.2,0.19,0.17,8.48,11.9,0.14,173.1,13.4,0.76,362,Snack,Pakistani,Snack
"Pakoras Vegetable Fritters, 6 fritters",84.8,6.0,0.0,6.4,1.6,0.0,80.1,0.03,1.5,0.11,0.67,1.5,3.6,0.66,238.1,12.3,0.11,236,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 2 Samosa (35 Grams)",70.4,10.0,0.0,1.6,4.0,0.0,47.7,0.37,1.7,0.05,0.72,13.6,6.8,0.28,76.0,15.7,0.05,72,Snack,Pakistani,Snack
"Punjabi Curry With Pakora Food, 1 cup",154.4,17.2,0.0,6.4,7.2,0.0,20.1,0.08,10.0,0.12,0.54,4.55,75.1,0.25,62.9,17.7,0.48,97,Snack,Pakistani,Snack
Samosa,58.8,18.0,0.0,7.8,1.2,0.0,53.2,0.25,5.6,0.04,0.74,0.21,41.0,0.35,179.8,1.6,0.41,301,Snack,Pakistani,Snack
Pakora,107.2,12.6,0.0,22.8,3.1,0.0,0.0,0.09,3.5,0.13,0.05,18.52,4.0,1.17,160.9,8.4,0.05,10,Snack,Pakistani,Snack
Fruit Chaat,69.9,3.8,0.0,15.2,5.7,0.0,26.5,0.13,12.6,0.01,0.42,3.19,6.0,1.02,90.1,15.5,0.08,175,Snack,Pakistani,Snack
Dahi Bhallay,75.6,39.1,0.0,2.9,1.6,0.0,41.3,0.35,10.2,0.1,0.1,22.07,44.6,0.48,124.6,13.4,0.31,13,Snack,Pakistani,Snack
Roasted Chana,79.2,22.8,0.0,7.9,8.9,0.0,29.7,0.04,3.6,0.07,0.6,13.58,0.5,1.73,239.0,10.0,0.4,145,Snack,Pakistani,Snack
Boiled Egg,58.6,31.7,0.0,0.8,3.1,0.0,8.6,0.46,0.7,0.09,0.16,10.95,24.4,1.26,75.9,3.9,0.55,146,Snack,Pakistani,Snack
Lassi,104.0,38.6,0.0,9.9,4.1,0.0,0.0,0.54,5.9,0.0,0.52,17.89,10.3,0.62,50.0,13.0,0.06,107,Snack,Pakistani,Snack
Doodh Patti,83.6,33.8,0.0,5.4,6.3,0.0,45.1,0.06,1.0,0.03,0.7,3.76,8.2,0.73,102.9,8.3,0.49,39,Snack,Pakistani,Snack
Dates,111.4,21.6,0.0,20.8,1.2,0.0,36.9,0.09,11.9,0.01,0.06,0.2,10.0,0.08,60.7,9.6,0.26,10,Snack,Pakistani,Snack
Dry Fruits Mix,91.3,33.2,0.0,8.7,4.3,0.0,0.0,0.02,8.1,0.19,0.23,10.64,7.0,0.08,87.5,29.0,0.88,194,Snack,Pakistani,Snack
Chana Chaat,27.7,5.6,0.0,3.2,4.5,0.0,0.0,0.56,2.1,0.06,0.54,9.23,18.3,0.17,190.1,5.5,0.51,433,Snack,Pakistani,Snack
Chikki,65.0,23.9,0.0,6.0,3.2,0.0,41.3,0.06,5.4,0.16,0.42,0.81,12.5,1.42,143.6,17.2,0.12,10,Snack,Pakistani,Snack
Murabba,88.6,16.6,0.0,14.6,5.9,0.0,7.3,0.55,0.5,0.01,0.73,8.4,2.7,0.72,94.8,8.4,0.35,213,Snack,Pakistani,Snack
Seviyan (sweet vermicelli),121.2,29.8,0.0,17.1,7.5,0.0,24.8,0.49,4.5,0.02,0.21,1.51,32.1,0.29,160.2,7.3,0.26,250,Snack,Pakistani,Snack
"Homemade Dahi Bhalla / Bhalle, 1 cup (160g) Hyderabadi",84.1,9.6,0.0,2.7,2.0,0.0,0.0,0.25,4.1,0.12,0.18,6.58,32.8,0.55,20.7,13.2,0.47,235,Snack,Pakistani,Snack
"Sitar Cuisine Chana Masala (Chick Peas), 1 oz Grilled",12.2,1.3,0.0,0.5,0.3,0.0,1.9,0.39,2.5,0.15,0.62,0.33,29.2,0.4,18.5,18.0,0.39,81,Snack,Pakistani,Snack
"Homemade Kala Chana, 0.5 cup Low-fat",36.0,6.1,0.0,0.4,1.5,0.0,0.0,0.35,6.4,0.05,0.07,11.86,20.8,1.03,78.0,2.2,0.27,336,Snack,Pakistani,Snack
"Co-op Mini Selection Mini Samosa, 3 Samosa Herbed",59.0,0.0,0.0,1.8,0.0,0.0,14.1,0.49,2.6,0.11,0.19,1.92,18.5,0.49,118.3,13.0,0.59,395,Snack,Pakistani,Snack
Dry Fruits Mix Light,89.0,32.3,0.0,8.7,4.4,0.0,0.0,0.22,5.1,0.15,0.78,12.22,30.4,1.25,12.3,24.6,0.76,77,Snack,Pakistani,Snack
"Gourmet Spinach Pakora, 2 pieces (130g) Herbed",38.9,3.5,0.0,2.5,1.3,0.0,0.0,0.46,4.8,0.01,0.63,8.98,17.9,0.79,138.9,5.3,0.2,239,Snack,Pakistani,Snack
"Chana Masala, 1 cup (275g) Punjabi",168.0,28.5,0.0,3.8,4.6,0.0,1.1,0.38,0.9,0.04,0.01,2.36,29.7,1.1,126.9,20.0,0.64,237,Snack,Pakistani,Snack
"Punjabi Curry With Pakora Food, 0.8 cup Buttery",126.0,13.9,0.0,3.6,6.5,0.0,0.0,0.61,1.1,0.15,0.76,5.44,40.4,1.09,101.6,12.6,0.3,138,Snack,Pakistani,Snack
Dry Fruits Mix Crispy,84.0,30.5,0.0,8.8,4.3,0.0,20.0,0.01,2.4,0.05,0.19,9.32,42.0,1.18,51.2,18.3,1.2,244,Snack,Pakistani,Snack
"Homemade Kala Chana, 1 cup Home-cooked",68.7,11.3,0.0,1.1,3.4,0.0,7.9,0.2,14.7,0.05,0.22,5.05,34.5,0.54,156.0,6.2,0.34,72,Snack,Pakistani,Snack
"Samosa Chaat, 156 g Tandoori",96.3,16.1,0.0,4.1,4.7,0.0,0.0,0.09,2.1,0.1,0.6,9.56,7.0,0.72,130.9,19.0,0.1,309,Snack,Pakistani,Snack
"Moong Daal Dahi Vada, 2 pieces Crispy",47.2,3.7,0.0,3.7,2.4,0.0,0.0,0.42,9.2,0.08,0.1,4.62,14.9,2.7,73.1,22.5,0.1,459,Snack,Pakistani,Snack
"Homemade Samosa Large, 0.5 piece - Slow-cooked",63.3,0.0,0.0,0.0,0.0,0.0,18.9,0.49,0.7,0.27,0.11,3.79,20.8,0.52,43.5,7.0,0.48,205,Snack,Global,Snack
"Deep Gourmet Potato & Pea Cocktail Samosa, 7.5 pieces (3g) Light",48.7,6.0,0.0,0.0,1.1,0.0,0.0,0.08,2.2,0.12,0.86,0.24,20.7,0.94,324.3,2.2,0.7,276,Snack,Pakistani,Snack
"Co-op 12 Selection Vegetable Pakora, 2 pakora Crispy",38.2,3.4,0.0,1.3,1.4,0.0,43.8,0.21,1.1,0.11,0.18,1.63,15.4,0.49,71.3,15.3,0.29,312,Snack,Pakistani,Snack
"Co-Op Mini Selection Mini Pakora, 2 Pakora Home-cooked",36.5,0.0,0.0,1.1,0.0,0.0,0.0,0.21,0.8,0.16,0.08,16.19,7.6,1.08,240.0,8.2,0.39,338,Snack,Pakistani,Snack
"Deep Gourmet Original Potato Pea Samosa, 1 Pieces (53g) Buttery",27.6,3.4,0.0,1.8,0.5,0.0,45.1,0.04,1.4,0.08,0.0,1.99,8.4,0.24,205.5,5.5,0.16,10,Snack,Pakistani,Snack
Dried Dates Pudding Recipe Grilled,118.3,12.8,0.0,6.2,2.5,0.0,9.5,0.06,10.8,0.0,0.58,3.21,19.5,0.18,77.2,26.1,0.71,152,Snack,Global,Snack
"Iceland Platter Vegetable Samosas, 1 vegetable samosa Crispy",18.4,2.6,0.0,0.6,0.3,0.0,93.7,0.24,1.9,0.09,0.27,1.55,15.2,0.55,294.9,1.2,1.08,93,Snack,Pakistani,Snack
Dried Dates Pudding Recipe Punjabi,105.1,11.4,0.0,5.7,3.2,0.0,0.0,0.07,2.9,0.08,0.79,0.87,40.2,0.81,19.4,5.3,0.51,467,Snack,Global,Snack
"Samosa (Potato-filled), 1 piece Dry",133.5,13.9,0.0,8.3,1.5,0.0,34.0,0.11,13.0,0.07,0.79,8.65,15.3,1.09,97.3,20.2,0.82,170,Snack,Pakistani,Snack
"Sainsbury's Vegetable Samosas, 1 Samosa (50g) Grilled",39.9,9.0,0.0,3.1,0.6,0.0,11.9,0.35,1.0,0.09,0.93,6.53,3.0,0.9,270.8,16.8,0.49,407,Snack,Pakistani,Snack
"Samosa (Potato-filled), 4 piece Hyderabadi",10.0,53.1,0.0,23.9,7.3,0.0,0.0,0.01,6.5,0.08,0.05,8.78,4.9,0.75,190.1,19.6,1.35,54,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 10 piece Light",440.7,23.2,0.0,20.8,57.2,0.0,0.0,0.23,9.9,0.11,0.4,4.62,13.9,0.59,121.1,2.5,0.26,77,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora Herbed",32.0,3.7,0.0,1.5,0.7,0.0,79.5,0.25,3.5,0.08,0.0,0.75,16.0,0.35,30.7,13.9,0.13,421,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora Punjabi",96.5,9.8,0.0,5.9,2.6,0.0,75.5,0.0,0.0,0.03,0.17,11.12,15.1,0.5,201.5,16.8,0.11,47,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 4 vegetable pakora Buttery",44.7,4.3,0.0,2.0,1.2,0.0,0.0,0.08,12.4,0.02,0.74,17.41,18.1,0.47,34.9,3.5,0.62,145,Snack,Pakistani,Snack
"Samosa (Potato-Filled), 1 piece Slow-cooked",62.4,0.0,0.0,0.0,0.0,0.0,12.6,0.1,4.6,0.04,0.07,6.05,51.3,1.19,278.7,9.5,0.15,10,Snack,Pakistani,Snack
"M&s Modern Kebab and Samosa Selection, 3 pieces Slow-cooked",58.5,3.6,0.0,3.4,3.8,0.0,29.0,0.46,2.8,0.02,0.8,1.03,0.8,0.2,119.1,20.0,0.34,338,Snack,Pakistani,Snack
Keema Samosa Recipe Hyderabadi,49.8,8.9,0.0,1.0,0.7,0.0,0.0,0.5,1.8,0.03,1.16,7.81,9.0,1.58,172.9,11.0,0.73,265,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 4 vegetable pakora Home-cooked",42.5,4.1,0.0,1.4,1.4,0.0,53.8,0.24,6.5,0.01,0.38,6.37,5.9,0.91,125.8,20.4,0.55,76,Snack,Pakistani,Snack
"Homemade Kala Chana, 1 cup Smoky",61.8,10.2,0.0,1.2,4.6,0.0,23.2,0.05,4.4,0.05,0.69,4.24,27.4,1.15,183.3,6.1,0.05,72,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 1 container (2 pakoras ea.) Tandoori",108.2,10.9,0.0,5.9,1.9,0.0,70.0,0.5,2.5,0.03,0.17,1.12,42.0,0.36,27.1,14.9,0.63,515,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 0.5 Samosa (35 Grams) - Grilled",17.7,2.4,0.0,0.5,1.5,0.0,33.2,0.41,9.3,0.26,0.28,1.43,1.2,0.39,61.5,17.4,0.04,231,Snack,Global,Snack
"Chana Masala Chickpea, 409.5 grams Slow-cooked",139.2,25.2,0.0,2.7,4.8,0.0,0.0,0.1,2.5,0.18,0.52,18.2,23.2,0.18,15.7,11.5,0.79,615,Snack,Pakistani,Snack
Dried Dates Pudding Recipe Grilled Home-cooked,145.2,15.7,0.0,5.1,2.3,0.0,3.6,0.13,12.3,0.08,0.18,19.13,23.3,0.47,208.2,9.7,0.16,10,Snack,Global,Snack
"Mango Lassi, 0.38 cup Tandoori",18.4,3.9,0.0,0.0,0.4,0.0,0.0,0.39,3.4,0.18,0.85,11.5,1.4,1.18,69.8,12.8,0.11,56,Snack,Pakistani,Snack
"Homemade Samosa Large, 0.5 piece - Tandoori",45.5,0.0,0.0,0.0,0.0,0.0,58.2,0.36,5.8,0.04,1.7,2.63,34.3,0.81,41.4,20.1,0.69,191,Snack,Global,Snack
"Tesco 12 Snack Selection (Mini Vegetable Pakoras), 2 pakora Slow-cooked",60.2,3.2,0.0,4.4,0.0,0.0,80.9,0.34,1.1,0.03,0.25,1.44,8.9,0.92,56.2,11.0,0.1,342,Snack,Pakistani,Snack
"Samosa (Potato-Filled), 1 piece Tandoori",73.9,0.0,0.0,0.0,0.0,0.0,23.2,0.41,5.0,0.15,0.45,8.61,7.3,1.15,90.4,21.2,0.26,545,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 2 vegetable pakora - Crispy",26.2,2.5,0.0,1.7,1.0,0.0,43.4,0.08,9.9,0.03,0.05,12.46,25.5,0.34,155.4,16.6,0.1,363,Snack,Pakistani,Snack
"Vegtable Samosa, 1 portion Punjabi",54.2,5.8,0.0,2.3,1.0,0.0,22.8,0.28,3.9,0.05,1.05,11.06,26.9,0.47,41.7,17.3,0.4,270,Snack,Pakistani,Snack
"Sitar Cuisine Chana Masala (Chick Peas), 1 oz Grilled Herbed",10.3,1.1,0.0,0.4,0.2,0.0,20.4,0.29,2.8,0.12,0.43,25.65,37.7,1.24,91.0,3.8,0.5,268,Snack,Pakistani,Snack
"Vegetable Samosa, 0.13 samosa Spicy",10.0,0.4,0.0,0.3,0.0,0.0,97.0,0.49,6.0,0.04,0.05,9.08,15.6,0.65,4.1,6.3,0.7,54,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 1 Samosa (35 Grams) Grilled",36.3,5.4,0.0,0.9,2.2,0.0,0.0,0.09,2.4,0.12,0.4,8.91,11.2,0.88,28.2,20.0,0.11,10,Snack,Pakistani,Snack
"night (chx tikka, rice, pakora), 1.25 serving(s) Buttery",306.4,50.7,0.0,5.7,9.8,0.0,0.0,0.12,0.8,0.04,0.59,1.09,0.1,0.97,136.6,6.6,0.42,107,Snack,Pakistani,Snack
"Homemade Kala Chana, 0.5 cup Dry",29.4,5.0,0.0,0.5,1.7,0.0,0.0,0.4,0.5,0.14,0.14,4.63,23.6,1.25,10.8,7.4,0.67,273,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 2 samosa Herbed",113.2,8.7,0.0,10.3,1.1,0.0,58.7,0.22,1.1,0.08,0.14,7.1,5.0,0.53,140.0,9.0,0.61,288,Snack,Pakistani,Snack
"Sainsbury's Vegetable Samosas, 2 Samosa (50g) Smoky",91.2,0.0,0.0,5.7,0.0,0.0,38.4,0.07,5.1,0.1,0.55,8.96,39.3,0.83,215.7,20.7,0.34,465,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 2 Samosa (35 Grams) Hyderabadi",68.5,9.7,0.0,1.4,4.1,0.0,22.9,0.18,7.2,0.02,0.38,0.2,18.2,1.02,1.9,8.3,0.83,42,Snack,Pakistani,Snack
"(Uk Sheek Kebab, 2 piece Hyderabadi",103.8,0.0,0.0,6.2,12.3,0.0,42.3,0.51,2.8,0.02,0.52,2.58,66.9,1.63,134.0,14.4,0.12,166,Snack,Pakistani,Snack
"Gourmet Spinach Pakora, 2 pieces (130g) Slow-cooked",40.7,3.7,0.0,2.5,1.4,0.0,0.0,0.01,2.4,0.07,0.81,1.44,50.2,1.13,91.9,6.4,0.72,265,Snack,Pakistani,Snack
"Schweppes Diet Tonic Water Classic Mixers, 0.5 container (750 mls ea.) Hyderabadi",10.0,0.0,0.0,0.0,0.0,0.0,47.2,0.07,4.1,0.18,0.28,9.82,39.6,0.87,296.3,10.1,0.84,10,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 1 Samosa (35 Grams) Light",41.1,6.1,0.0,1.0,2.6,0.0,0.0,0.08,6.8,0.04,0.41,1.02,9.4,0.03,21.8,13.5,0.55,71,Snack,Pakistani,Snack
"Iceland Platter Vegetable Samosas, 2 vegetable samosa Masaledar",27.0,3.4,0.0,1.6,1.0,0.0,83.6,0.16,0.7,0.16,0.69,10.85,8.5,1.13,239.6,11.6,0.24,404,Snack,Pakistani,Snack
"Neha's Inspired Frozen Yoghurt Mango & Honey Lassi, 80 g Punjabi",83.7,9.5,0.0,4.7,1.1,0.0,13.5,0.01,0.6,0.12,0.39,16.61,54.3,0.27,43.1,2.1,0.14,85,Snack,Pakistani,Snack
"(Uk Sheek Kebab, 2 piece Hyderabadi Herbed",92.9,0.0,0.0,4.3,12.6,0.0,24.6,0.1,4.0,0.04,0.42,3.53,16.5,2.12,89.3,3.1,0.75,267,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 2 vegetable pakora - Low-fat",20.7,2.0,0.0,1.4,0.6,0.0,34.7,0.42,4.1,0.1,1.21,4.58,30.9,1.52,77.8,18.6,0.67,25,Snack,Pakistani,Snack
Dry Fruits Mix Masaledar,107.9,39.2,0.0,11.0,3.2,0.0,52.5,0.08,24.0,0.03,0.57,15.37,10.1,0.51,79.8,12.9,0.51,199,Snack,Pakistani,Snack
